delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
638872.000,191794.000,45268.000,49979.000,27795.000,32237.000,13949.000,2243.000,23.000,30.000,130.000,0.000
111150.000,12570.000,14673.000,11096.000,3339.000,3766.000,4713.000,1076.000,40.000,37.000,130.000,0.000
1142428.000,168691.000,63001.000,18495.000,43370.000,15944.000,10755.000,10001.000,54.000,48.000,58.000,0.000
1668223.000,133208.000,43667.000,19605.000,8996.000,16176.000,4696.000,4439.000,48.000,53.000,17.000,0.000
81476.000,42734.000,20536.000,29414.000,9585.000,8010.000,2855.000,912.000,40.000,53.000,6.000,0.000
569752.000,376305.000,49371.000,14922.000,10730.000,37805.000,4784.000,5541.000,38.000,64.000,-261.000,0.000
794985.000,80874.000,114720.000,27664.000,53071.000,22471.000,8739.000,3595.000,37.000,40.000,44.000,0.000
358353.000,127249.000,69661.000,145642.000,29907.000,29709.000,6521.000,2763.000,41.000,51.000,58.000,0.000
844475.000,310999.000,79694.000,18436.000,38678.000,14048.000,7810.000,4899.000,41.000,63.000,-9.000,0.000
853881.000,46217.000,13447.000,45336.000,4946.000,21352.000,5570.000,5559.000,30.000,48.000,61.000,0.000
151753.000,20234.000,22138.000,6441.000,12342.000,6373.000,2048.000,1485.000,41.000,67.000,83.000,0.000
88728.000,57385.000,13930.000,6747.000,6506.000,6719.000,2103.000,512.000,44.000,64.000,83.000,0.000
553093.000,77503.000,10405.000,19110.000,27783.000,11008.000,8282.000,4555.000,44.000,48.000,70.000,0.000
118511.000,31480.000,1781.000,15702.000,1733.000,4933.000,1514.000,1095.000,56.000,48.000,83.000,0.000
861739.000,32750.000,41617.000,46936.000,26095.000,32891.000,7772.000,5746.000,48.000,41.000,49.000,0.000
465899.000,60856.000,64895.000,29143.000,13126.000,14617.000,5948.000,2621.000,57.000,44.000,66.000,0.000
221818.000,42394.000,33075.000,24433.000,13468.000,2127.000,1611.000,961.000,57.000,60.000,3.000,0.000
98978.000,14766.000,2977.000,13354.000,2513.000,6236.000,1158.000,1234.000,41.000,77.000,89.000,0.000
996908.000,106587.000,57654.000,50297.000,27137.000,53743.000,14836.000,7521.000,48.000,81.000,16.000,0.000
241327.000,89760.000,11604.000,13514.000,21102.000,7933.000,1766.000,1202.000,47.000,77.000,32.000,0.000
866763.000,139251.000,76925.000,44428.000,72925.000,50400.000,12977.000,1904.000,43.000,56.000,52.000,0.000
