delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
1307671.000,65169.000,13396.000,28208.000,10059.000,17403.000,1878.000,3446.000,44.000,37.000,90.000,0.000
153889.000,149261.000,46156.000,29568.000,23207.000,15325.000,6865.000,11394.000,54.000,37.000,74.000,0.000
1263463.000,116189.000,44155.000,20711.000,28002.000,16314.000,20804.000,2773.000,53.000,34.000,7.000,0.000
306749.000,98017.000,9447.000,7340.000,6895.000,4988.000,5202.000,2465.000,60.000,35.000,133.000,0.000
28942.000,10438.000,8078.000,2995.000,1807.000,2401.000,2336.000,671.000,51.000,38.000,-292.000,0.000
729758.000,71606.000,8392.000,6698.000,6934.000,7993.000,6950.000,4284.000,47.000,41.000,70.000,0.000
588923.000,56378.000,9467.000,5504.000,5917.000,2781.000,2877.000,3349.000,51.000,34.000,116.000,0.000
318562.000,418796.000,134815.000,67652.000,38672.000,37258.000,6626.000,5910.000,40.000,26.000,38.000,0.000
974459.000,113296.000,63066.000,54506.000,77004.000,60004.000,8030.000,4545.000,47.000,35.000,-76.000,0.000
925758.000,162612.000,40781.000,71902.000,13735.000,46252.000,13963.000,3280.000,56.000,30.000,134.000,0.000
246859.000,99224.000,715.000,15931.000,6817.000,17996.000,4899.000,2061.000,63.000,41.000,108.000,0.000
524739.000,19898.000,12314.000,3136.000,4371.000,10235.000,1937.000,2135.000,81.000,37.000,44.000,0.000
1576749.000,326208.000,18834.000,15489.000,96370.000,23311.000,12337.000,3272.000,100.000,38.000,93.000,0.000
165718.000,252428.000,24189.000,16643.000,47201.000,14815.000,8938.000,3478.000,83.000,21.000,22.000,0.000
2016221.000,133955.000,81825.000,211425.000,58609.000,41537.000,5882.000,2184.000,67.000,10.000,-25.000,0.000
816414.000,477827.000,39737.000,107800.000,121314.000,107445.000,8725.000,9888.000,61.000,29.000,-133.000,0.000
64539.000,22618.000,1834.000,6857.000,2071.000,2938.000,845.000,157.000,56.000,23.000,-53.000,0.000
329692.000,93711.000,20174.000,48586.000,14149.000,5451.000,3695.000,682.000,61.000,37.000,285.000,0.000
164861.000,8469.000,5086.000,11434.000,1569.000,1410.000,955.000,268.000,54.000,51.000,-13.000,0.000
164559.000,183528.000,285730.000,26948.000,75308.000,74156.000,3794.000,3694.000,48.000,53.000,106.000,0.000
277304.000,513159.000,17883.000,127417.000,23771.000,47502.000,13413.000,6583.000,47.000,66.000,-9.000,0.000
905921.000,705507.000,217297.000,62111.000,122399.000,56094.000,7189.000,4558.000,43.000,63.000,84.000,0.000
747995.000,161532.000,40925.000,50439.000,60945.000,100021.000,22736.000,5805.000,48.000,56.000,119.000,0.000
925099.000,262750.000,53199.000,45004.000,50847.000,73148.000,16411.000,2568.000,74.000,41.000,39.000,0.000
1045236.000,142394.000,85011.000,143402.000,82389.000,15075.000,4415.000,2071.000,77.000,29.000,-69.000,0.000
1274742.000,218316.000,59654.000,32382.000,23603.000,65121.000,16750.000,3950.000,69.000,41.000,50.000,0.000
396732.000,260426.000,127030.000,37877.000,102956.000,32082.000,8150.000,3702.000,88.000,41.000,277.000,0.000
1097175.000,114700.000,27351.000,3375.000,10122.000,10279.000,1991.000,1291.000,67.000,44.000,6.000,0.000
681082.000,399006.000,63570.000,25892.000,31108.000,32278.000,14112.000,4308.000,54.000,43.000,91.000,0.000
676262.000,171612.000,22191.000,48647.000,22361.000,34449.000,5965.000,2204.000,63.000,27.000,69.000,0.000
231824.000,30904.000,10449.000,5598.000,4762.000,7366.000,3581.000,2264.000,57.000,29.000,-41.000,0.000
281975.000,143392.000,5754.000,188310.000,45346.000,26900.000,18199.000,9834.000,67.000,27.000,-371.000,0.000
2465659.000,99126.000,20436.000,12435.000,12077.000,5855.000,2852.000,878.000,67.000,40.000,-39.000,0.000
318002.000,28097.000,13064.000,47175.000,32089.000,19153.000,4589.000,2934.000,61.000,44.000,117.000,0.000
967034.000,123546.000,174866.000,38734.000,77310.000,21406.000,10633.000,6596.000,66.000,53.000,37.000,0.000
549179.000,93261.000,60397.000,58996.000,33440.000,47549.000,8415.000,2017.000,54.000,61.000,107.000,0.000
98710.000,248138.000,8413.000,141897.000,24160.000,17872.000,4105.000,4139.000,67.000,60.000,-166.000,0.000
453752.000,93871.000,35896.000,54042.000,18082.000,28480.000,3686.000,1418.000,69.000,66.000,51.000,0.000
199352.000,154106.000,10745.000,21441.000,48370.000,13826.000,8576.000,3024.000,63.000,63.000,-89.000,0.000
628727.000,297572.000,70048.000,23065.000,11861.000,21813.000,12252.000,4924.000,66.000,47.000,50.000,0.000
935279.000,126807.000,31219.000,18500.000,46669.000,37296.000,4729.000,5500.000,48.000,37.000,-72.000,0.000
1084765.000,91276.000,61840.000,61049.000,18407.000,30294.000,12801.000,2552.000,69.000,29.000,18.000,0.000
445349.000,294359.000,63046.000,39799.000,26265.000,28665.000,6422.000,3424.000,67.000,35.000,114.000,0.000
155369.000,17828.000,9832.000,9820.000,10237.000,8600.000,1042.000,453.000,66.000,40.000,36.000,0.000
673769.000,116128.000,79715.000,23954.000,16490.000,11332.000,7438.000,2950.000,87.000,47.000,90.000,0.000
288268.000,147834.000,20138.000,21036.000,21969.000,35785.000,7822.000,5859.000,66.000,56.000,-106.000,0.000
101694.000,11147.000,7405.000,7290.000,5922.000,4767.000,2551.000,1101.000,69.000,43.000,89.000,0.000
502829.000,268365.000,127004.000,36520.000,16468.000,49098.000,6345.000,1914.000,84.000,50.000,-99.000,0.000
2636082.000,275609.000,12967.000,26278.000,38421.000,26470.000,7375.000,1773.000,74.000,50.000,38.000,0.000
1154089.000,175609.000,86781.000,59821.000,34537.000,18724.000,8338.000,2477.000,80.000,34.000,150.000,0.000
650482.000,57888.000,13498.000,15433.000,29056.000,34639.000,21690.000,2236.000,64.000,43.000,33.000,0.000
1200458.000,179692.000,23406.000,73034.000,39690.000,34948.000,7503.000,1837.000,74.000,34.000,134.000,0.000
646977.000,202926.000,15915.000,17139.000,5626.000,22242.000,12446.000,3363.000,74.000,30.000,45.000,0.000
913254.000,103131.000,34206.000,64974.000,42518.000,14960.000,6680.000,2973.000,74.000,34.000,100.000,0.000
620641.000,209040.000,46817.000,92675.000,22803.000,14984.000,5775.000,4140.000,75.000,34.000,50.000,0.000
491620.000,75261.000,87412.000,35986.000,26777.000,13525.000,9268.000,5058.000,47.000,40.000,45.000,0.000
678207.000,436231.000,20381.000,28261.000,20950.000,12878.000,5630.000,9306.000,38.000,51.000,-55.000,0.000
1736644.000,77126.000,88438.000,87791.000,20011.000,19511.000,9065.000,1592.000,23.000,47.000,85.000,0.000
378886.000,32263.000,7961.000,4792.000,13237.000,4020.000,2452.000,1203.000,23.000,54.000,146.000,0.000
111065.000,52215.000,65771.000,143622.000,19600.000,13271.000,5875.000,4290.000,34.000,47.000,81.000,0.000
435576.000,63073.000,31418.000,93539.000,18061.000,16006.000,4322.000,1272.000,27.000,54.000,0.000,0.000
