delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
455935.000,31372.000,12660.000,23291.000,13623.000,5102.000,2014.000,2118.000,41.000,80.000,-283.000,0.000
2103440.000,29502.000,59309.000,39762.000,19169.000,17668.000,5240.000,2474.000,47.000,90.000,11.000,0.000
205861.000,49640.000,10725.000,8228.000,2654.000,6409.000,5322.000,1955.000,51.000,100.000,-119.000,0.000
466856.000,71684.000,12771.000,26505.000,14616.000,4085.000,2493.000,2075.000,43.000,100.000,125.000,0.000
460731.000,143233.000,33996.000,11822.000,38428.000,46617.000,11487.000,2076.000,29.000,83.000,51.000,0.000
510661.000,124730.000,81232.000,62036.000,57414.000,17976.000,9452.000,2013.000,47.000,69.000,71.000,0.000
195665.000,165705.000,24082.000,3717.000,5322.000,7989.000,1798.000,962.000,37.000,63.000,180.000,0.000
125895.000,87443.000,8235.000,14401.000,3750.000,16888.000,2303.000,1641.000,27.000,54.000,72.000,0.000
881018.000,269555.000,46849.000,52130.000,17251.000,28593.000,11575.000,9290.000,47.000,48.000,-225.000,0.000
324976.000,100792.000,8818.000,14577.000,7630.000,6402.000,4139.000,5104.000,30.000,53.000,90.000,0.000
259595.000,24300.000,8282.000,1709.000,9207.000,6196.000,9896.000,795.000,27.000,38.000,-18.000,0.000
432584.000,13223.000,9946.000,13241.000,8406.000,13591.000,4179.000,1059.000,47.000,43.000,180.000,0.000
538683.000,114029.000,7193.000,7182.000,4243.000,5061.000,2906.000,647.000,57.000,54.000,52.000,0.000
160284.000,22172.000,17241.000,15436.000,6555.000,5879.000,3325.000,809.000,48.000,43.000,170.000,0.000
497331.000,65953.000,81467.000,25753.000,19134.000,35217.000,6185.000,4739.000,57.000,60.000,90.000,0.000
352646.000,106435.000,1233.000,12854.000,14211.000,5948.000,3445.000,1947.000,61.000,75.000,130.000,0.000
212473.000,234481.000,16664.000,20317.000,26561.000,27123.000,20108.000,15181.000,34.000,54.000,4.000,0.000
307497.000,41309.000,41271.000,28462.000,36235.000,25433.000,8308.000,3052.000,47.000,56.000,64.000,0.000
147836.000,21266.000,14998.000,13992.000,7947.000,2733.000,3297.000,1522.000,56.000,54.000,-441.000,0.000
327271.000,23958.000,7634.000,2455.000,5552.000,2617.000,1035.000,1272.000,38.000,54.000,170.000,0.000
238625.000,25488.000,3617.000,7047.000,3739.000,6104.000,717.000,1103.000,43.000,64.000,91.000,0.000
49571.000,19308.000,3249.000,3260.000,1527.000,2806.000,923.000,166.000,50.000,75.000,-77.000,0.000
1761733.000,15260.000,2610.000,1952.000,9253.000,2944.000,2057.000,657.000,40.000,63.000,-60.000,0.000
215077.000,132548.000,25454.000,15397.000,16398.000,3954.000,3320.000,3555.000,54.000,44.000,74.000,0.000
1194601.000,37792.000,12522.000,7555.000,3185.000,11739.000,3452.000,675.000,40.000,43.000,55.000,0.000
2065800.000,659388.000,51425.000,133725.000,18403.000,22454.000,10758.000,2307.000,41.000,47.000,139.000,0.000
1549657.000,40157.000,43013.000,23589.000,6355.000,3547.000,5328.000,750.000,23.000,47.000,11.000,0.000
