delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
936482.000,211102.000,86118.000,120265.000,16467.000,61086.000,16336.000,8173.000,70.000,50.000,162.000,0.000
896118.000,124318.000,1757.000,29272.000,15984.000,19050.000,9726.000,7310.000,74.000,53.000,-216.000,0.000
1612536.000,47203.000,18012.000,6121.000,6579.000,4949.000,1829.000,794.000,64.000,50.000,105.000,0.000
281896.000,51303.000,4910.000,20818.000,16445.000,38735.000,5730.000,4132.000,51.000,54.000,157.000,0.000
495551.000,67265.000,42344.000,15032.000,46339.000,37766.000,25220.000,9464.000,67.000,40.000,-216.000,0.000
1859328.000,267403.000,51745.000,16826.000,10382.000,11051.000,2766.000,1516.000,75.000,30.000,-124.000,0.000
2287685.000,175609.000,9869.000,30793.000,22319.000,23947.000,16656.000,4240.000,61.000,35.000,-20.000,0.000
743073.000,147676.000,13753.000,31397.000,98986.000,18149.000,7465.000,6770.000,66.000,24.000,65.000,0.000
417674.000,199243.000,94731.000,24952.000,28595.000,24289.000,10481.000,1730.000,50.000,20.000,55.000,0.000
237254.000,241961.000,65785.000,50825.000,145593.000,62150.000,13877.000,3403.000,35.000,23.000,37.000,0.000
150035.000,564935.000,25331.000,88277.000,73714.000,35501.000,9046.000,2717.000,53.000,23.000,64.000,0.000
81530.000,64262.000,157687.000,46071.000,25983.000,11856.000,12887.000,3403.000,47.000,23.000,88.000,0.000
202094.000,14933.000,4220.000,7788.000,3650.000,8795.000,1258.000,338.000,38.000,51.000,81.000,0.000
159305.000,8560.000,6644.000,23438.000,13387.000,6478.000,2816.000,1604.000,53.000,50.000,116.000,0.000
196718.000,62970.000,13979.000,26506.000,10560.000,4106.000,1642.000,689.000,51.000,66.000,-138.000,0.000
1465132.000,286807.000,27968.000,13441.000,16224.000,17132.000,6092.000,6797.000,50.000,80.000,-23.000,0.000
214692.000,75043.000,14492.000,19463.000,5488.000,13639.000,1446.000,2030.000,51.000,48.000,135.000,0.000
82537.000,15736.000,14982.000,11209.000,13637.000,10877.000,1831.000,591.000,43.000,48.000,22.000,0.000
111055.000,13053.000,5185.000,14237.000,3327.000,6650.000,1490.000,407.000,47.000,41.000,25.000,0.000
230742.000,20761.000,1961.000,7846.000,9808.000,8213.000,1536.000,430.000,61.000,48.000,5.000,0.000
1090297.000,167074.000,34421.000,60058.000,12786.000,20491.000,3495.000,3906.000,78.000,54.000,83.000,0.000
1801051.000,113132.000,55682.000,34057.000,24527.000,32763.000,7464.000,3961.000,75.000,56.000,41.000,0.000
1940091.000,56078.000,11843.000,20849.000,18059.000,26959.000,5377.000,1937.000,69.000,53.000,22.000,0.000
